happy | /ˈhæpi/ | adj | Vui vẻ, hạnh phúc | A1 | Emotions & Personality
sad | /sæd/ | adj | Buồn bã | A1 | Emotions & Personality
angry | /ˈæŋɡri/ | adj | Tức giận | A1 | Emotions & Personality
scared | /skeəd/ | adj | Sợ hãi | A2 | Emotions & Personality
afraid | /əˈfreɪd/ | adj | Lo sợ, e sợ | A1 | Emotions & Personality
excited | /ɪkˈsaɪtɪd/ | adj | Hào hứng, phấn khích | A1 | Emotions & Personality
bored | /bɔːd/ | adj | Chán nản, buồn chán | A1 | Emotions & Personality
tired | /ˈtaɪəd/ | adj | Mệt mỏi | A1 | Emotions & Personality
surprised | /səˈpraɪzd/ | adj | Ngạc nhiên | A2 | Emotions & Personality
nervous | /ˈnɜːvəs/ | adj | Lo lắng, hồi hộp | A2 | Emotions & Personality
worried | /ˈwʌrid/ | adj | Lo lắng, bồn chồn | A2 | Emotions & Personality
proud | /praʊd/ | adj | Tự hào | A2 | Emotions & Personality
hungry | /ˈhʌŋɡri/ | adj | Đói bụng | A1 | Emotions & Personality
thirsty | /ˈθɜːsti/ | adj | Khát nước | A1 | Emotions & Personality
hot | /hɒt/ | adj | Nóng nực | A1 | Emotions & Personality
cold | /kəʊld/ | adj | Lạnh giá | A1 | Emotions & Personality
calm | /kɑːm/ | adj | Bình tĩnh, điềm tĩnh | A2 | Emotions & Personality
lonely | /ˈləʊnli/ | adj | Cô đơn | A2 | Emotions & Personality
relaxed | /rɪˈlækst/ | adj | Thư giãn, thoải mái | A2 | Emotions & Personality
in love | /ɪn lʌv/ | phrase | Đang yêu, si tình | A2 | Emotions & Personality
kind | /kaɪnd/ | adj | Tốt bụng, tử tế | A1 | Emotions & Personality
nice | /naɪs/ | adj | Tốt, đáng yêu, thân thiện | A1 | Emotions & Personality
friendly | /ˈfrendli/ | adj | Thân thiện | A1 | Emotions & Personality
hard-working | /ˌhɑːd ˈwɜːkɪŋ/ | adj | Chăm chỉ | A2 | Emotions & Personality
polite | /pəˈlaɪt/ | adj | Lịch sự, lễ phép | A2 | Emotions & Personality
honest | /ˈɒnɪst/ | adj | Thật thà, trung thực | A2 | Emotions & Personality
clever | /ˈklevər/ | adj | Thông minh, lanh lợi | A2 | Emotions & Personality
smart | /smɑːt/ | adj | Thông minh | A2 | Emotions & Personality
intelligent | /ɪnˈtelɪdʒənt/ | adj | Thông minh (trí tuệ) | A2 | Emotions & Personality
funny | /ˈfʌni/ | adj | Vui tính, khôi hài | A1 | Emotions & Personality
helpful | /ˈhelpfl/ | adj | Hay giúp đỡ người khác | A2 | Emotions & Personality
careful | /ˈkeəfl/ | adj | Cẩn thận | A2 | Emotions & Personality
generous | /ˈdʒenərəs/ | adj | Rộng lượng, hào phóng | A2 | Emotions & Personality
patient | /ˈpeɪʃnt/ | adj | Kiên nhẫn | A2 | Emotions & Personality
quiet | /ˈkwaɪət/ | adj | Trầm tính, ít nói | A2 | Emotions & Personality
active | /ˈæktɪv/ | adj | Năng động, hoạt bát | A2 | Emotions & Personality
brave | /breɪv/ | adj | Dũng cảm | A2 | Emotions & Personality
lazy | /ˈleɪzi/ | adj | Lười biếng | A1 | Emotions & Personality
unfriendly | /ʌnˈfrendli/ | adj | Khó gần, không thân thiện | A2 | Emotions & Personality
rude | /ruːd/ | adj | Thô lỗ, bất lịch sự | A2 | Emotions & Personality
dishonest | /dɪsˈɒnɪst/ | adj | Không trung thực | A2 | Emotions & Personality
careless | /ˈkeələs/ | adj | Cẩu thả, bất cẩn | A2 | Emotions & Personality
selfish | /ˈselfɪʃ/ | adj | Ích kỷ | A2 | Emotions & Personality
impatient | /ɪmˈpeɪʃnt/ | adj | Nóng nảy, mất kiên nhẫn | A2 | Emotions & Personality
shy | /ʃaɪ/ | adj | Nhút nhát, bẽn lẽn | A2 | Emotions & Personality
stupid | /ˈstjuːpɪd/ | adj | Ngốc nghếch | A2 | Emotions & Personality
silly | /ˈsɪli/ | adj | Ngớ ngẩn, ngốc nghếch (vui) | A1 | Emotions & Personality
boring | /ˈbɔːrɪŋ/ | adj | Nhạt nhẽo, tẻ nhạt | A1 | Emotions & Personality
serious | /ˈsɪəriəs/ | adj | Nghiêm túc, nghiêm nghị | A2 | Emotions & Personality
greedy | /ˈɡriːdi/ | adj | Tham lam | A2 | Emotions & Personality
technology | /tekˈnɒlədʒi/ | n | Công nghệ | A2 | Technology & Media
machine | /məˈʃiːn/ | n | Máy móc | A1 | Technology & Media
device | /dɪˈvaɪs/ | n | Thiết bị | A2 | Technology & Media
digital | /ˈdɪdʒɪtl/ | adj | Kỹ thuật số | A2 | Technology & Media
system | /ˈsɪstəm/ | n | Hệ thống | A2 | Technology & Media
science | /ˈsaɪəns/ | n | Khoa học | A1 | Technology & Media
computer | /kəmˈpjuːtər/ | n | Máy tính | A1 | Technology & Media
laptop | /ˈlæptɒp/ | n | Máy tính xách tay | A1 | Technology & Media
screen | /skriːn/ | n | Màn hình | A2 | Technology & Media
keyboard | /ˈkiːbɔːd/ | n | Bàn phím | A2 | Technology & Media
mouse | /maʊs/ | n | Chuột máy tính | A1 | Technology & Media
camera | /ˈkæmrə/ | n | Máy ảnh / Máy quay phim | A1 | Technology & Media
printer | /ˈprɪntər/ | n | Máy in | A2 | Technology & Media
file | /faɪl/ | n | Tệp tin, tập tin | A2 | Technology & Media
folder | /ˈfəʊldər/ | n | Thư mục | A2 | Technology & Media
data | /ˈdeɪtə/ | n | Dữ liệu | A2 | Technology & Media
phone | /fəʊn/ | n | Điện thoại | A1 | Technology & Media
smartphone | /ˈsmɑːtfəʊn/ | n | Điện thoại thông minh | A2 | Technology & Media
mobile phone | /ˌməʊbaɪl ˈfəʊn/ | n | Điện thoại di động | A1 | Technology & Media
call | /kɔːl/ | v/n | Gọi điện / Cuộc gọi | A1 | Technology & Media
message | /ˈmesɪdʒ/ | n | Tin nhắn | A2 | Technology & Media
text | /tekst/ | v | Nhắn tin văn bản | A2 | Technology & Media
